"Chr"	"Chr_NC"	"Chr_rom"	"Size"	"Index"	"Lines"	"Mids"	"Lines_1000"	"Mids_1000"	"Lines_30000"	"Mids_30000"	"Colors"	"CEN_start"	"CEN_end"	"CEN_Mid"	"CEN_30000"
"chromosome1"	"ref|NC_001133|"	"chrI"	230218	0	230218	115109	231	116	22	12	"#5BBCD6"	151465	151582	151523	16
"chromosome2"	"ref|NC_001134|"	"chrII"	813184	230218	1043402	636810	1045	638	104	65	"#D1AB12"	238207	238323	238265	48
"chromosome3"	"ref|NC_001135|"	"chrIII"	316620	1043402	1360022	1201712	1362	1204	136	122	"#85AD9C"	114385	114501	114443	118
"chromosome4"	"ref|NC_001136|"	"chrIV"	1531933	1360022	2891955	2125989	2894	2128	290	215	"#91A737"	449711	449821	449766	183
"chromosome5"	"ref|NC_001137|"	"chrV"	576874	2891955	3468829	3180392	3471	3183	348	321	"#AF9E63"	151987	152104	152045	308
"chromosome6"	"ref|NC_001138|"	"chrVI"	270161	3468829	3738990	3603910	3742	3607	376	364	"#50A45C"	148510	148627	148568	365
"chromosome7"	"ref|NC_001139|"	"chrVII"	1090940	3738990	4829930	4284460	4833	4288	486	433	"#D98F2A"	496920	497038	496979	428
"chromosome8"	"ref|NC_001140|"	"chrVIII"	562643	4829930	5392573	5111252	5396	5115	543	517	"#10A080"	105586	105703	105644	499
"chromosome9"	"ref|NC_001141|"	"chrIX"	439888	5392573	5832461	5612517	5836	5616	587	567	"#F88600"	355629	355745	355687	581
"chromosome10"	"ref|NC_001142|"	"chrX"	745751	5832461	6578212	6205337	6582	6209	662	627	"#32806E"	436307	436425	436366	633
"chromosome11"	"ref|NC_001143|"	"chrXI"	666816	6578212	7245028	6911620	7249	6916	729	698	"#F69100"	440129	440246	440187	709
"chromosome12"	"ref|NC_001144|"	"chrXII"	1078177	7245028	8323205	7784117	8328	7789	837	785	"#775549"	150828	150947	150888	747
"chromosome13"	"ref|NC_001145|"	"chrXIII"	924431	8323205	9247636	8785421	9253	8791	930	886	"#F49C00"	268031	268149	268090	866
"chromosome14"	"ref|NC_001146|"	"chrXIV"	784333	9247636	10031969	9639803	10038	9646	1009	972	"#BB2A24"	628758	628875	628816	995
"chromosome15"	"ref|NC_001147|"	"chrXV"	1091291	10031969	11123260	10577615	11130	10584	1119	1066	"#F2A700"	326584	326702	326643	1044
"chromosome16"	"ref|NC_001148|"	"chrXVI"	948066	11123260	12071326	11597293	12079	11605	1214	1169	"#FF0000"	555957	556073	556015	1177
"mitochondrial"	"ref|NC_001224|"	"chrmt"	85779	12071326	12157105	12114216	12165	12122	1223	1221	NA	NA	NA	NA	NA
